name_last,name_first,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs
McLaughlin,Barney,118791.0,mclab103,mclauba01,mclaug001bar,1008607
Gonsalves,Stephen,624427.0,gonss001,gonsast01,gonsal001ste,15492
Collier,Orlin,112497.0,collo102,collior02,collie001orl,1002459
Carmichael,Chet,112014.0,carmc101,carmich01,carmic001che,1001970
Grieve,Ben,115132.0,grieb001,grievbe01,grieve001ben,1209
Bradish,Kyle,680694.0,bradk001,bradiky01,bradis000kyl,24586
McDaniel,Fred,818244.0,mcdaf101,mcdanfr01,mcdani000fre,nan
Goodwin,Art,114954.0,gooda101,goodwar01,goodwi001art,1004861
Wallace,Jeff,123862.0,wallj001,wallaje01,wallac001jef,1013550
Devlin,Jim,113315.0,devlj101,devliji03,devlin001jam,1003251
Perez,George,120409.0,pereg101,perezge01,perez-003geo,1010181
Brown,Clint,111538.0,browc103,browncl01,brown-001cli,1001504
Winn,George,124457.0,winng101,winnge01,winn--001geo,1014138
Narron,Jerry,119655.0,narrj001,narroje01,narron001jer,1009453
Grey,Reddy,115127.0,greyr101,greyre01,grey--001rom,1005032
Walsh,Joe,123883.0,walsj104,walshjo03,walsh-002jos,1013577
Bankhead,Fred,820606.0,bankf101,bankhfr01,bankhe000fre,nan
Chiles,Pearce,112244.0,chilp101,chilepe01,chiles001pea,1002191
Cabrera,Oswaldo,665828.0,cabro002,cabreos01,cabrer000osw,21707
Humphreys,Mike,116310.0,humpm001,humphmi01,humphr002mic,1006187
Agosto,Juan,110088.0,agosj001,agostju01,agosto001jua,1000084
O'Leary,Troy,119975.0,oleat001,o'leatr01,oleary001tro,789
Young,Russ,124713.0,younr102,youngru01,young-001rus,1014391
Wright,Zollie,816459.0,wrigz102,wrighzo01,wright000zol,nan
Sommers,Andy,122532.0,sommp101,sommepe01,sommer001pet,1012276
Stidham,Phil,122790.0,stidp001,stidhph01,stidha001phi,1012531
Robertson,Nate,425146.0,roben001,roberna01,robert001nat,1620
Cowgill,Collin,518577.0,cowgc001,cowgico01,cowgil001col,7250
Orme,Clarence,817918.0,ormec101,ormecl01,orme--000cla,nan
Lynch,Danny,118033.0,lyncd101,lynchda01,lynch-001mat,1007861
Wright,Gene,124593.0,wrigg103,wrighge02,wright001cla,1014278
Bonnell,Barry,111201.0,bonnb001,bonneba01,bonnel001rob,1001171
Bolton,Cecil,111181.0,boltc102,boltoce01,bolton001cec,1001152
Kraus,Jack,117295.0,krauj101,krausja01,kraus-001joh,1007144
Tsutsugo,Yoshi,660294.0,tsuty001,tsutsyo01,tsutsu000yos,27459
Schneider,Jeff,121847.0,schnj101,schneje01,schnei002jef,1011595
Lopez,Al,117914.0,lopea102,lopezal01,lopez-002alf,1007751
Daley,Pete,113009.0,dalep101,daleype01,daley-001pet,1002945
Davis,Doug,150277.0,david002,davisdo02,davis-003dou,1244
Harting,Jumbo,115458.0,hardl103,hardilo02,hartin001jum,1005346
Herrnstein,John,115855.0,herrj101,herrnjo01,herrns001joh,1005735
Adams,Spencer,110066.0,adams102,adamssp02,adams-001spe,1000064
Schreiber,Paul,121865.0,schrp102,schrepa01,schrei001pau,1011613
Walter,Bernie,123891.0,waltb101,waltebe01,walter001jam,1013582
Bender,Charles,110850.0,bendc101,bendech01,bender001cha,1000827
Fulton,Bill,114489.0,fultb001,fultobi01,fulton001wil,1004403
Acton,Garrett,670183.0,actog001,actonga01,acton-000gar,27583
Downs,Scott,275933.0,downs001,downssc01,downs-001sco,773
Thompson,Harold,816950.0,,thompha03,thomps008har,nan
Buente,Jay,502055.0,buenj001,buentja01,buente001jay,9494
Robertson,Connor,452075.0,robec002,roberco01,robert008jam,7705
Spanswick,Bill,122561.0,spanb101,spansbi01,spansw001wil,1012303
McGrillis,Mark,118732.0,mcgrm101,mcgrima01,mcgril001mar,1008548
Clack,Bobby,112303.0,clacb101,clackbo01,clack-001bob,1002250
Grasso,Mickey,115052.0,grasm101,grassmi01,grasso001new,1004956
Cregan,Pete,112818.0,cregp101,cregape01,cregan001pet,1002759
Bowie,Jim,111295.0,bowij001,bowieji01,bowie-001jam,1001257
Barnes,Brandon,488681.0,barnb002,barnebr02,barnes001bra,629
McIvor,Otto,118759.0,mcivo101,mcivoot01,mcivor001edw,1008575
Boucher,Medric,111271.0,boucm101,bouchme01,bouche001med,1001233
Hayes,Von,115646.0,hayev001,hayesvo01,hayes-001von,1005531
Waller,Red,123869.0,wallr101,wallere01,waller001joh,1013556
Goar,Jot,114878.0,goarj101,goarjo01,goar--001jot,1004790
Landestoy,Rafael,117450.0,landr001,landera01,landes001raf,1007292
Alfaro,Jason,430898.0,alfaj001,alfarja01,alfaro001jas,2388
Perez,Danny,120406.0,pered001,perezda01,perez-001dan,1010180
Weaver,Roger,124010.0,weavr101,weavero01,weaver002rog,1013704
Eischen,Joey,113784.0,eiscj001,eischjo01,eische001jos,774
Irwin,Walt,116410.0,irwiw101,irwinwa01,irwin-001wal,1006281
Tising,Jack,123361.0,tisij101,tisinja01,tising001joh,1013083
Mulligan,Joe,119499.0,mullj101,mullijo02,mullig001jos,1009307
Witt,Bobby,677951.0,wittb002,wittbo02,witt--005rob,25764
Dunbar,Vet,819692.0,dunbv101,dunbave01,dunbar000vet,nan
Lowrie,Jed,476704.0,lowrj001,lowrije01,lowrie001jed,4418
Gray,Milt,115069.0,graym101,graymi01,gray--001mil,1004975
Davie,Jerry,113092.0,davij105,davieje01,davie-001ger,1003032
Lang,Don,117470.0,langd102,langdo01,lang--001don,1007314
Counsell,Craig,112736.0,counc001,counscr01,counse001cra,52
Bote,David,623520.0,boted002,boteda01,bote--000dav,14593
Dozier,D. J.,113536.0,dozid001,dozied.01,dozier001wil,1003471
Claiborne,Preston,502011.0,claip001,claibpr01,claibo001pre,10500
Murray,Tony,119577.0,murrt101,murrato02,murray001ant,1009400
Rodriguez,José,679563.0,rodrj008,rodrijo09,rodrig076jos,24388
Williams,Charlie,124292.0,willc101,willich01,willia009cha,1013980
Hershiser,Orel,115861.0,herso001,hershor01,hershi001ore,1005741
Hriniak,Walt,116244.0,hrinw101,hriniwa01,hrinia001wal,1006118
McNaughton,Gordon,118849.0,mcnag102,mcnaugo01,mcnaug001gor,1008663
Mercer,Mark,118965.0,mercm101,mercema01,mercer001mar,1008777
