IDfg,Season,Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM,OAA,Range
21865,2025,Bo Naylor,CLE,C,119,106,945.1,931,58,7,1,6,1,4,2,3,,77.0,27.0,3.0,27.0,0.993,,-1.0,,,3,,1,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,-2,0.0,,-2.7,,
24610,2025,Steven Kwan,CLE,LF,152,152,1328.0,308,13,8,0,8,0,2,0,0,,,,,,0.976,,,,7.0,5,10.0,22,223.0,202.0,0.906,106.0,,,,,,,,,,,8.0,,,,,,,,,,,,,0,,,,5.0,5.0
25479,2025,Brenton Doyle,COL,CF,131,125,1090.2,375,6,2,2,0,0,2,0,0,,,,,,0.995,,,,3.0,-2,-1.0,0,280.0,258.0,0.921,117.0,,,,,,,,,,,7.7,,,,,,,,,,,,,0,,,,6.0,5.0
21614,2025,Kyle Isbel,KCR,CF,135,118,1032.0,329,3,1,0,1,0,2,0,0,,,,,,0.997,,,,-1.0,-1,11.0,9,243.0,234.0,0.963,95.0,,,,,,,,,,,7.7,,,,,,,,,,,,,0,,,,12.0,11.0
13510,2025,Jose Ramirez,CLE,3B,134,132,1145.2,82,235,13,7,5,18,20,0,2,,,,,,0.961,,,0.0,,-1,1.0,0,236.0,166.0,0.703,60.0,,,,,,,,,,,7.4,,,,,,,,,,,,,0,,,,6.0,5.0
19608,2025,Otto Lopez,MIA,SS,111,107,956.2,159,225,10,5,5,38,20,20,5,,,,,,0.975,,,-1.0,,-1,9.0,7,173.0,131.0,0.757,73.0,,,,,,,,,,,7.3,,,,,,,,,,,,,0,,,,4.0,3.0
26294,2025,Bryson Stott,PHI,2B,135,122,1093.0,220,296,3,3,0,53,23,32,5,,,,,,0.994,,,-6.0,,0,6.0,0,237.0,193.0,0.814,59.0,,,,,,,,,,,6.9,,,,,,,,,,,,,0,,,,7.0,5.0
18314,2025,Dansby Swanson,CHC,SS,159,159,1387.0,221,354,11,6,5,68,40,30,4,,,,,,0.981,,,1.0,,1,5.0,7,291.0,236.0,0.811,88.0,,,,,,,,,,,6.9,,,,,,,,,,,,,0,,,,2.0,1.0
12533,2025,Marcus Semien,TEX,2B,127,127,1108.1,183,308,2,1,1,62,22,42,3,,,,,,0.996,,,0.0,,1,4.0,5,238.0,189.0,0.794,74.0,,,,,,,,,,,6.4,,,,,,,,,,,,,0,,,,7.0,5.0
29695,2025,Matt McLain,CIN,2B,138,131,1172.2,196,288,6,4,2,53,20,37,2,,,,,,0.988,,,1.0,,-1,-6.0,-6,233.0,169.0,0.725,78.0,,,,,,,,,,,6.2,,,,,,,,,,,,,0,,,,6.0,5.0
26299,2025,Josh Jung,TEX,3B,126,122,1086.2,86,221,7,5,2,18,18,0,0,,,,,,0.978,,,-1.0,,-1,-2.0,-3,250.0,179.0,0.716,39.0,,,,,,,,,,,6.1,,,,,,,,,,,,,0,,,,5.0,4.0
